#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
51 1 609 563 208.67146 7.083941990350509 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
52 1 610 562 170.54991 7.134112958105618 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
53 1 610 561 124.57843 7.173158386419042 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
54 1 611 561 201.70226 7.216325334749645 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
55 1 612 561 201.70226 7.269695727621773 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
56 1 613 562 163.28741 7.317983939606583 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
57 1 614 562 144.8968 7.358756761616961 0.0007526874724121 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
58 1 708 528 150.42581 6.173789141120643 0.0009518204305024 201.2329944852657 1 0.2 0.0370000004768371 2 1.0 0 13436723
59 1 708 527 178.4813 6.195494406216092 0.0009389322472983 201.0898161243504 1 0.2 0.0370000004768371 2 1.0 0 13436723
60 1 707 526 206.48512 6.220899141029956 0.000768137916695 200.92223428307176 1 0.2 0.0370000004768371 2 1.0 0 13436723
61 1 706 525 157.8692 6.244943636981846 0.0008811474599454 200.7636252311073 1 0.2 0.0370000004768371 2 1.0 0 13436723
62 1 705 525 161.68306 6.26603155548096 0.0010379659577214 200.62451918506085 1 0.2 0.0370000004768371 2 1.0 0 13436723
63 1 704 524 223.83386 6.291472623399621 0.0009360379956337 200.4566976731599 1 0.2 0.0370000004768371 2 1.0 0 13436723
64 1 703 523 257.46536 6.323234560009098 0.0008253787772762 200.24718067333328 1 0.2 0.0370000004768371 2 1.0 0 13436723
65 1 702 522 230.70122 6.355449684684993 0.0007633171341394 200.03467422720172 1 0.2 0.0370000004768371 2 1.0 0 13436723
66 1 701 521 173.8287 6.3821454641468405 0.0007923553300033 199.85857603490163 1 0.2 0.0370000004768371 2 1.0 0 13436723
67 1 700 521 142.57207 6.403025401248105 0.0007874193121557 199.72084193411885 1 0.2 0.0370000004768371 2 1.0 0 13436723
68 1 700 520 115.319115 6.420044173123442 0.0012052806999163 199.60857793498377 1 0.2 0.0370000004768371 2 1.0 0 13436723
69 1 699 520 203.97102 6.441114788034262 0.000979683429819 199.46958603172243 1 0.2 0.0370000004768371 2 1.0 0 13436723
70 1 698 519 255.06871 6.471407764388135 0.0007346995214675 199.26975899977788 1 0.2 0.0370000004768371 2 1.0 0 13436723
71 1 697 518 175.421 6.499816679647851 0.0009356969007821 199.0823601403592 1 0.2 0.0370000004768371 2 1.0 0 13436723
72 1 691 557 208.56425 35.534072624118515 0.0002191906460802 199.79463453699063 1 1.0 0.0370000004768371 2 1.0 0 13434643
73 1 691 556 197.23254 35.538221107550875 0.0001316679962945 199.7489192032404 1 1.0 0.0370000004768371 2 1.0 0 13434643
74 1 615 562 208.56577 8.868920804969163 0.0010447691622868 210.1527330341726 1 0.2 0.0370000004768371 2 1.0 0 13435051
75 1 616 562 208.14325 8.886344891448386 0.0007836529051902 209.93482995419396 1 0.2 0.0370000004768371 2 1.0 0 13435051
76 1 617 562 103.78559 8.899387748288369 0.001051737411684 209.77171789201836 1 0.2 0.0370000004768371 2 1.0 0 13435051
77 1 617 563 104.9584 8.908116075821129 0.0015628997264655 209.6625627030379 1 0.2 0.0370000004768371 2 1.0 0 13435051
78 1 618 563 208.74399 8.921233088944616 0.0011006296822711 209.49852325321447 1 0.2 0.0370000004768371 2 1.0 0 13435051
79 1 619 563 230.6202 8.939604471733105 0.0011161058980212 209.2687734239852 1 0.2 0.0370000004768371 2 1.0 0 13435051
80 1 620 564 261.61438 8.960186557534993 0.0010317802992123 209.01137686583772 1 0.2 0.0370000004768371 2 1.0 0 13435051
81 1 621 565 254.58623 8.981770734445501 0.0010912028396801 208.741448302684 1 0.2 0.0370000004768371 2 1.0 0 13435051
82 1 622 566 276.67712 9.003984748487122 0.0008674417818625 208.46364308838312 1 0.2 0.0370000004768371 2 1.0 0 13435051
83 1 623 567 182.29175 9.023175864842797 0.0010994794679459 208.22364179091963 1 0.2 0.0370000004768371 2 1.0 0 13435051
84 1 624 567 200.99492 9.039202442127165 0.0010458282521563 208.0232157567661 1 0.2 0.0370000004768371 2 1.0 0 13435051
85 1 625 567 200.99492 9.056011063609722 0.0010458282521565 207.8130095921209 1 0.2 0.0370000004768371 2 1.0 0 13435051
86 1 626 567 200.99492 9.07281968509228 0.0008006272429095 207.60280342747564 1 0.2 0.0370000004768371 2 1.0 0 13435051
87 1 627 567 106.74561 9.085687419585916 0.0017306928388341 207.44188141977932 1 0.2 0.0370000004768371 2 1.0 0 13435051
88 1 549 547 205.24815 5.2935192951269 0.0014894413599631 222.11116410435585 1 0.2 0.0370000004768371 1 1.0 0 13433193
89 1 550 547 204.4953 5.324699206838171 0.0013697536262739 221.80545901519903 1 0.2 0.0370000004768371 2 1.0 0 13433193
90 1 551 548 170.94016 5.353268401806559 0.0016440197800681 221.5253508360668 1 0.2 0.0370000004768371 2 1.0 0 13433193
91 1 552 548 205.72945 5.381931514056763 0.0014815960754619 221.2443218399907 1 0.2 0.0370000004768371 2 1.0 0 13433193
92 1 553 548 202.81161 5.413019922486872 0.0014867287526851 220.93951389958104 1 0.2 0.0370000004768371 2 1.0 0 13433193
93 1 554 548 201.33032 5.443773580203875 0.0010467841121587 220.6379880401965 1 0.2 0.0370000004768371 2 1.0 0 13433193
94 1 696 517 230.73071 6.52755659619497 0.0008157542842636 198.9182192494156 1 0.2 0.0370000004768371 2 1.0 0 13436577
95 1 695 516 264.02084 6.562215745059846 0.0007478190154563 198.72999968186383 1 0.2 0.0370000004768371 2 1.0 0 13436577
96 1 694 515 254.96701 6.598572728344633 0.0005562224765798 198.53255987461336 1 0.2 0.0370000004768371 2 1.0 0 13436577
97 1 691 555 207.45096 35.54240881832446 0.0001 199.72294998937505 1 1.0 0.0370000004768371 2 1.0 0 13434639
98 1 691 554 130.21153 35.54594313502163 0.0002241143775036 199.7168464743017 1 1.0 0.0370000004768371 2 1.0 0 13434639
99 1 628 567 201.17564 9.099023018336146 0.001281716444941 207.25713755161345 1 0.2 0.0370000004768371 2 1.0 0 13433857
100 1 629 567 201.17564 9.116767388075733 0.0012817163963332 206.9992874204784 1 0.2 0.0370000004768371 2 1.0 0 13433857
101 1 630 567 201.17564 9.13451175714238 0.0010778042166705 206.74143729912208 1 0.2 0.0370000004768371 2 1.0 0 13433857
102 1 631 567 137.16422 9.14943312029019 0.0011581310918168 206.52460934181272 1 0.2 0.0370000004768371 2 1.0 0 13433857
103 1 555 548 145.5019 7.0463347065414 0.0009909419290053 220.42723865755303 1 0.2 0.0370000004768371 2 1.0 0 13433201
104 1 556 548 201.0354 7.063793241665082 0.0007167341890212 220.28305471681105 1 0.2 0.0370000004768371 2 1.0 0 13433201
105 1 557 548 145.27354 7.081240274173671 0.0008745965013228 220.13896577214751 1 0.2 0.0370000004768371 2 1.0 0 13433201
106 1 693 514 207.28464 7.074511047289192 0.0003211341779178 198.390741492588 1 0.2 0.0370000004768371 2 1.0 0 13436547
107 1 693 513 100.56792 7.093523638145372 0.000565640194279 198.3241753109451 1 0.2 0.0370000004768371 2 1.0 0 13436547
108 1 692 513 162.51262 7.109771169130049 0.0004326986080326 198.26729005490844 1 0.2 0.0370000004768371 2 1.0 0 13436547
109 1 692 512 162.69562 7.129855633041352 0.0005405990746443 198.19697107087137 1 0.2 0.0370000004768371 2 1.0 0 13436547
110 1 691 511 244.06627 7.1549767421464106 0.0004388652277364 198.10901797050715 1 0.2 0.0370000004768371 2 1.0 0 13436547
111 1 690 510 251.30179 7.185570060843536 0.0004106497155975 198.0019057718144 1 0.2 0.0370000004768371 2 1.0 0 13436547
112 1 689 509 225.95963 7.2150451252154575 0.0004082044077922 197.89870876390748 1 0.2 0.0370000004768371 2 1.0 0 13436547
113 1 688 508 200.61745 7.241390003255178 0.0003102359893337 197.8064710488997 1 0.2 0.0370000004768371 2 1.0 0 13436547
114 1 690 553 259.8198 35.55027113873334 0.000211136389639 199.68766419773084 1 1.0 0.0370000004768371 2 1.0 0 13434629
115 1 689 552 271.4432 35.5563339413066 0.0002045736052266 199.632806784532 1 1.0 0.0370000004768371 2 1.0 0 13434629
116 1 688 551 266.33456 35.562471090455105 0.0001952382913655 199.5772766691053 1 1.0 0.0370000004768371 2 1.0 0 13434629
