#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
130 2 561 548 205.10046 7.163518691522667 0.0005100234323966866 219.60764980660582 1 1.0 0.03700000047683716 2 1.0 0 13433317
131 2 562 548 109.9622 7.180171247246927 0.0009555251475211384 219.50304376403813 1 1.0 0.03700000047683716 2 1.0 0 13433317
132 2 563 549 206.5029 7.19689792346901 0.0006585550221793778 219.39797212014895 1 1.0 0.03700000047683716 2 1.0 0 13433317
133 2 564 549 203.09572 7.218547147899195 0.0006593984989220221 219.261978598806 1 1.0 0.03700000047683716 2 1.0 0 13433317
134 2 565 549 200.26071 7.239866443205363 0.0006636992516290966 219.12805758696624 1 1.0 0.03700000047683716 2 1.0 0 13433317
135 2 566 549 200.0595 7.261025251632799 0.0006978689362321335 218.9951447025002 1 1.0 0.03700000047683716 2 1.0 0 13433317
136 2 567 549 220.44765 7.283251039078874 0.000606124976476946 218.85552939622633 1 1.0 0.03700000047683716 2 1.0 0 13433317
137 2 568 548 181.9986 7.30452222832378 0.0007013495563498844 218.72191057131664 1 1.0 0.03700000047683716 2 1.0 0 13433317
138 2 569 548 202.45442 7.324842367963775 0.0006687989570988824 218.5942659366215 1 1.0 0.03700000047683716 2 1.0 0 13433317
139 2 570 548 205.36002 7.346397315869396 0.0005507903683896883 218.4588646303298 1 1.0 0.03700000047683716 2 1.0 0 13433317
140 2 571 548 135.31656 7.364403693325756 0.0010968873177904918 218.34575431153672 1 1.0 0.03700000047683716 2 1.0 0 13433317
141 3 687 507 125.97571 7.26072885435474 0.0004169685281182205 197.74423229678328 1 1.0 0.03700000047683716 2 1.0 0 13436455
142 3 687 506 224.89012 7.280083021399166 0.0002292437217263785 197.6917043912366 1 1.0 0.03700000047683716 2 1.0 0 13436455
143 3 686 505 119.47476 7.29907858703444 0.0004086664058034492 197.64014974281363 1 1.0 0.03700000047683716 2 1.0 0 13436455
144 3 686 504 206.65929 7.3170685186631665 0.00029941876768320636 197.59132442125804 1 1.0 0.03700000047683716 2 1.0 0 13436455
145 3 686 503 206.65929 7.339867652335595 0.0002994187676833439 197.5294467523642 1 1.0 0.03700000047683716 2 1.0 0 13436455
146 3 686 502 206.65929 7.362666786008024 0.00028558020192647935 197.46756908347035 1 1.0 0.03700000047683716 2 1.0 0 13436455
147 3 684 545 135.70804 35.590323929429275 0.0003262398693268444 199.3260085528072 1 1.0 0.03700000047683716 2 1.0 0 13434561
148 3 684 544 222.34929 35.595435623329536 0.00018836857358160445 199.2817351801158 1 1.0 0.03700000047683716 2 1.0 0 13434561
149 4 636 568 201.213 9.224583742800636 0.001021728711559631 205.70566386869092 1 1.0 0.03700000047683716 2 1.0 0 13435139
150 4 637 568 201.213 9.24171005953964 0.001021728672818767 205.50007877207105 1 1.0 0.03700000047683716 2 1.0 0 13435139
151 4 638 568 201.213 9.258836375629263 0.0010217288277822236 205.29449368324634 1 1.0 0.03700000047683716 2 1.0 0 13435139
152 4 639 568 201.213 9.275962694316403 0.001021728827782365 205.08890856324098 1 1.0 0.03700000047683716 2 1.0 0 13435139
153 3 640 568 201.213 9.293089013003543 0.0010216798592900852 204.88332344323558 1 1.0 0.03700000047683716 2 1.0 0 13435139
154 4 641 568 201.19363 9.31021451087602 0.0010167252695327256 204.6777481763273 1 1.0 0.03700000047683716 2 1.0 0 13435139
155 4 642 569 199.22331 9.327255319377564 0.0010262122494369209 204.47318952453662 1 1.0 0.03700000047683716 2 1.0 0 13435139
156 4 643 569 200.97162 9.344286693705532 0.0010217290605999494 204.268744121001 1 1.0 0.03700000047683716 2 1.0 0 13435139
157 4 644 569 200.97162 9.361392471246022 0.001021729060599808 204.06340557786808 1 1.0 0.03700000047683716 2 1.0 0 13435139
158 4 645 569 200.97162 9.378498248786512 0.0010217290605999494 203.8580670347352 1 1.0 0.03700000047683716 2 1.0 0 13435139
159 4 646 569 200.97162 9.395604026327002 0.0010217290605999494 203.6527284916023 1 1.0 0.03700000047683716 2 1.0 0 13435139
160 4 647 569 200.97162 9.412709803867491 0.0010217290605999494 203.44738994846938 1 1.0 0.03700000047683716 2 1.0 0 13435139
161 4 648 569 200.97162 9.429815581407983 0.0010217290605999494 203.24205140533647 1 1.0 0.03700000047683716 2 1.0 0 13435139
162 4 649 569 200.97162 9.446921358948472 0.001021729060599808 203.03671286220356 1 1.0 0.03700000047683716 2 1.0 0 13435139
163 4 650 569 200.97162 9.464027136488962 0.0010217290605999494 202.83137431907068 1 1.0 0.03700000047683716 2 1.0 0 13435139
164 3 651 569 200.97162 9.481132914029452 0.0009414570866255829 202.62603577593777 1 1.0 0.03700000047683716 2 1.0 0 13435139
165 3 653 569 169.39302 9.496894778998115 0.0011267728793214543 202.4368296213469 1 1.0 0.03700000047683716 2 1.0 0 13435139
166 3 654 569 204.22366 9.512795039552701 0.0006593429783394614 202.2459621597548 1 1.0 0.03700000047683716 2 1.0 0 13435139
167 2 572 549 211.52675 7.968767817582518 0.000971878710359453 218.1973272942604 1 1.0 0.03700000047683716 2 1.0 0 13435319
168 2 573 549 208.62233 7.987893500384071 0.0009679404742444042 217.99174895056888 1 1.0 0.03700000047683716 2 1.0 0 13435319
169 2 574 549 204.07869 8.006680136658677 0.0009760902680350415 217.78981495380955 1 1.0 0.03700000047683716 2 1.0 0 13435319
170 2 575 549 203.03311 8.025212347208308 0.0009757307375844541 217.59061573100186 1 1.0 0.03700000047683716 2 1.0 0 13435319
171 2 576 549 201.8437 8.043642818585946 0.0009751155782585447 217.3925100832934 1 1.0 0.03700000047683716 2 1.0 0 13435319
172 2 577 549 200.40752 8.061953769080388 0.0009801001810468958 217.1956891429315 1 1.0 0.03700000047683716 2 1.0 0 13435319
173 2 578 549 201.02306 8.080227366867735 0.0009771394892913287 216.9992696997468 1 1.0 0.03700000047683716 2 1.0 0 13435319
174 2 579 549 200.42432 8.098501720377811 0.0009787991586977067 216.8028421334416 1 1.0 0.03700000047683716 2 1.0 0 13435319
175 2 580 549 200.50723 8.116752590915532 0.0009838963966453413 216.6066669811606 1 1.0 0.03700000047683716 2 1.0 0 13435319
176 2 581 549 202.67873 8.13510609526759 0.0009781331797763624 216.40938863743918 1 1.0 0.03700000047683716 2 1.0 0 13435319
177 2 582 549 202.48674 8.153549697327593 0.000985312320119124 216.21114185051178 1 1.0 0.03700000047683716 2 1.0 0 13435319
178 2 583 549 205.26562 8.172111069883595 0.0009077718207863575 216.01162917081837 1 1.0 0.03700000047683716 2 1.0 0 13435319
179 2 584 548 175.55342 8.18944641567941 0.0008595666441555407 215.82529482066727 1 1.0 0.03700000047683716 2 1.0 0 13435319
180 2 585 548 132.84714 8.203485165581348 0.0012744198833710197 215.67439495569064 1 1.0 0.03700000047683716 2 1.0 0 13435319
181 2 586 549 213.16481 8.2192360275463 0.0009749297760767765 215.50509192227395 1 1.0 0.03700000047683716 2 1.0 0 13435319
182 2 587 549 211.56688 8.23857032663394 0.0008270191735031012 215.29727120161706 1 1.0 0.03700000047683716 2 1.0 0 13435319
183 2 588 550 146.02666 8.254848394108869 0.001087872419958217 215.12230133598052 1 1.0 0.03700000047683716 2 1.0 0 13435319
184 2 589 550 178.63861 8.26962755223809 0.0011692269663980883 214.96344296313785 1 1.0 0.03700000047683716 2 1.0 0 13435319
185 2 590 551 248.23549 8.28905938401167 0.0008886504003341788 214.754573882104 1 1.0 0.03700000047683716 2 1.0 0 13435319
186 2 591 551 202.60266 8.30958207931317 0.0009786401485692843 214.53397931552334 1 1.0 0.03700000047683716 2 1.0 0 13435319
187 2 592 551 202.62053 8.328028315289144 0.000978598654247206 214.3357042171318 1 1.0 0.03700000047683716 2 1.0 0 13435319
188 2 593 551 202.62053 8.3464753958964 0.0009785974751202206 214.13742003995847 1 1.0 0.03700000047683716 2 1.0 0 13435319
