per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,561,1,571,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.212,6.7993813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.60608,6.837242,0.0,0.0,0.0,0.0,0.0
0,562,1,572,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.38306,13.530088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.84572,13.545933,0.0,0.0,0.0,0.0,0.0
0,563,1,575,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37814,24.725548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37814,24.75944,0.0,0.0,0.0,0.0,0.0
0,564,1,576,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.35203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.361443,0.0,0.0,0.0,0.0,0.0
0,565,1,577,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.9144,10.692605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.42671,10.76939,0.0,0.0,0.0,0.0,0.0
0,566,1,578,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.09174,5.6932836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.682,6.01447,0.0,0.0,0.0,0.0,0.0
0,567,1,579,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.6553,14.116011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.29752,14.179582,0.0,0.0,0.0,0.0,0.0
0,568,1,580,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.29524,0.0,0.0,0.0,0.0,0.0
0,569,1,581,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.056,18.926186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0855,19.048595,0.0,0.0,0.0,0.0,0.0
0,570,1,582,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.8049,15.408012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.05737,15.560235,0.0,0.0,0.0,0.0,0.0
