per,k,i,j,q,boundname
0,8,805,272,-279.42177372633023,wel_6245
0,8,803,320,-279.42177372633023,wel_6246
0,8,800,319,-279.42177372633023,wel_6247
0,8,794,331,-279.42177372633023,wel_6248
0,8,796,332,-279.42177372633023,wel_6249
0,8,791,323,-279.42177372633023,wel_6250
0,8,801,235,-279.42177372633023,wel_6251
0,8,810,251,-279.42177372633023,wel_6252
0,8,816,280,-279.42177372633023,wel_6253
0,8,822,280,-279.42177372633023,wel_6254
0,8,812,271,-279.42177372633023,wel_6255
0,8,814,271,-279.42177372633023,wel_6256
0,8,819,260,-279.42177372633023,wel_6257
0,8,819,258,-279.42177372633023,wel_6258
0,8,829,204,-279.42177372633023,wel_6259
0,8,825,259,-279.42177372633023,wel_6260
0,8,823,297,-279.42177372633023,wel_6261
0,8,822,335,-279.42177372633023,wel_6262
0,8,828,303,-279.42177372633023,wel_6263
0,8,832,287,-279.42177372633023,wel_6264
0,8,610,89,-279.42177372633023,wel_6654
